epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
31 | 96.4517 | 0.9018 | 1.6475 | 48.9591 | 0.6406 | 14.8810 | 145.1882 | 0.7296 | 2.2033 | 121.6987 | 0.2533 | 15.4139
32 | 96.4512 | 0.9019 | 1.6475 | 48.9595 | 0.6406 | 14.8821 | 145.1951 | 0.7263 | 2.2017 | 121.9713 | 0.2546 | 15.4121
33 | 96.4510 | 0.9018 | 1.6475 | 48.9582 | 0.6406 | 14.8821 | 145.1945 | 0.7318 | 2.2008 | 121.7482 | 0.2556 | 15.5006
34 | 96.4507 | 0.9019 | 1.6474 | 48.9603 | 0.6406 | 14.8821 | 144.7585 | 0.7275 | 2.2020 | 121.0197 | 0.2546 | 15.4149
35 | 96.4516 | 0.9019 | 1.6475 | 48.9598 | 0.6406 | 14.8824 | 144.8347 | 0.7251 | 2.2014 | 121.3334 | 0.2552 | 15.3975
36 | 96.4540 | 0.9019 | 1.6475 | 48.9660 | 0.6407 | 14.8830 | 144.7989 | 0.7304 | 2.2021 | 120.9515 | 0.2544 | 15.4585
37 | 96.4516 | 0.9019 | 1.6475 | 48.9611 | 0.6406 | 14.8824 | 144.2933 | 0.7239 | 2.2035 | 120.1797 | 0.2529 | 15.3848
38 | 96.4482 | 0.9018 | 1.6474 | 48.9592 | 0.6407 | 14.8830 | 144.3481 | 0.7266 | 2.2031 | 120.1842 | 0.2534 | 15.4236
39 | 96.4517 | 0.9019 | 1.6474 | 48.9625 | 0.6407 | 14.8826 | 144.1823 | 0.7200 | 2.2000 | 120.3653 | 0.2564 | 15.3081
40 | 96.4487 | 0.9019 | 1.6474 | 48.9566 | 0.6406 | 14.8826 | 144.2359 | 0.7214 | 2.2039 | 120.1721 | 0.2526 | 15.3304
41 | 96.4468 | 0.9018 | 1.6475 | 48.9557 | 0.6407 | 14.8836 | 144.3477 | 0.7247 | 2.2017 | 120.3572 | 0.2546 | 15.3747
42 | 96.4507 | 0.9019 | 1.6475 | 48.9577 | 0.6406 | 14.8826 | 144.1476 | 0.7217 | 2.2022 | 120.0749 | 0.2542 | 15.3141
43 | 96.4484 | 0.9019 | 1.6474 | 48.9558 | 0.6407 | 14.8832 | 144.1472 | 0.7206 | 2.2025 | 120.1118 | 0.2539 | 15.2795
44 | 96.4528 | 0.9019 | 1.6474 | 48.9630 | 0.6407 | 14.8828 | 144.2822 | 0.7181 | 2.2036 | 120.4432 | 0.2530 | 15.2537
45 | 96.4508 | 0.9019 | 1.6474 | 48.9637 | 0.6407 | 14.8834 | 143.7495 | 0.7188 | 2.2039 | 119.3226 | 0.2525 | 15.3056
46 | 96.4460 | 0.9018 | 1.6474 | 48.9589 | 0.6407 | 14.8830 | 144.3348 | 0.7264 | 2.2035 | 120.1371 | 0.2529 | 15.3770
47 | 96.4485 | 0.9019 | 1.6474 | 48.9568 | 0.6407 | 14.8836 | 144.1862 | 0.7229 | 2.2059 | 119.8689 | 0.2505 | 15.3320
48 | 96.4437 | 0.9019 | 1.6474 | 48.9508 | 0.6408 | 14.8847 | 144.0124 | 0.7206 | 2.2042 | 119.7431 | 0.2522 | 15.2823
49 | 96.4424 | 0.9019 | 1.6473 | 48.9504 | 0.6407 | 14.8831 | 144.0289 | 0.7208 | 2.2040 | 119.7786 | 0.2526 | 15.2321
50 | 96.4451 | 0.9019 | 1.6474 | 48.9539 | 0.6407 | 14.8836 | 143.9499 | 0.7151 | 2.2036 | 119.9300 | 0.2529 | 15.1431
