epoch | loss | sim_loss | var_pred | var_target | cov_pred | cov_target | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_cov_pred | val_cov_target | val_feat_std | val_feat_std_ctx | val_feat_norm
91 | 3.1857 | 0.3754 | 0.7445 | 0.0925 | 1.2627 | 17.4165 | 0.2554 | 0.9165 | 4.2384 | 12.3385 | 0.3258 | 0.8694 | 0.3293 | 42.0378 | 65.7198 | 0.1301 | 0.6815 | 2.9484
92 | 3.1858 | 0.3754 | 0.7445 | 0.0926 | 1.2629 | 17.4168 | 0.2554 | 0.9164 | 4.2391 | 12.3433 | 0.3258 | 0.8694 | 0.3294 | 42.1002 | 65.7061 | 0.1301 | 0.6814 | 2.9487
93 | 3.1853 | 0.3754 | 0.7444 | 0.0926 | 1.2628 | 17.4122 | 0.2554 | 0.9164 | 4.2393 | 12.3427 | 0.3257 | 0.8694 | 0.3293 | 42.0771 | 65.7237 | 0.1302 | 0.6816 | 2.9491
94 | 3.1849 | 0.3754 | 0.7444 | 0.0926 | 1.2628 | 17.4086 | 0.2554 | 0.9164 | 4.2395 | 12.3430 | 0.3258 | 0.8694 | 0.3292 | 42.1004 | 65.7042 | 0.1302 | 0.6814 | 2.9494
95 | 3.1851 | 0.3754 | 0.7444 | 0.0926 | 1.2630 | 17.4106 | 0.2555 | 0.9164 | 4.2399 | 12.3448 | 0.3257 | 0.8694 | 0.3292 | 42.1218 | 65.7014 | 0.1302 | 0.6814 | 2.9495
96 | 3.1843 | 0.3754 | 0.7444 | 0.0926 | 1.2628 | 17.4026 | 0.2555 | 0.9164 | 4.2400 | 12.3396 | 0.3257 | 0.8693 | 0.3293 | 42.0821 | 65.6884 | 0.1302 | 0.6816 | 2.9496
97 | 3.1840 | 0.3754 | 0.7444 | 0.0926 | 1.2626 | 17.3999 | 0.2555 | 0.9164 | 4.2401 | 12.3409 | 0.3258 | 0.8694 | 0.3292 | 42.0959 | 65.6877 | 0.1302 | 0.6815 | 2.9498
98 | 3.1846 | 0.3754 | 0.7444 | 0.0926 | 1.2629 | 17.4052 | 0.2555 | 0.9164 | 4.2400 | 12.3424 | 0.3257 | 0.8693 | 0.3292 | 42.1010 | 65.6976 | 0.1302 | 0.6816 | 2.9497
99 | 3.1844 | 0.3754 | 0.7444 | 0.0925 | 1.2629 | 17.4043 | 0.2555 | 0.9164 | 4.2400 | 12.3419 | 0.3257 | 0.8693 | 0.3292 | 42.0995 | 65.6946 | 0.1302 | 0.6816 | 2.9497
100 | 3.1841 | 0.3754 | 0.7444 | 0.0925 | 1.2628 | 17.4012 | 0.2555 | 0.9164 | 4.2400 | 12.3425 | 0.3258 | 0.8693 | 0.3293 | 42.1016 | 65.6984 | 0.1302 | 0.6817 | 2.9496
