epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
56 | 21.0094 | 1.9065 | 0.0154 | 0.0103 | 0.0008 | 1.1598 | 0.0621 | 0.0602 | 0.9868 | 1.0327 | 7.8919 | 64.3733 | 1.0890 | 0.4150 | 0.3361 | 0.3039 | 20.2752 | 3.7379 | 3.0947 | 0.6260 | 0.7219 | 5.8838
57 | 21.0036 | 1.9061 | 0.0154 | 0.0102 | 0.0008 | 1.1596 | 0.0620 | 0.0602 | 0.9868 | 1.0324 | 7.8917 | 64.4583 | 1.0868 | 0.4160 | 0.3379 | 0.3052 | 20.2329 | 3.7520 | 3.1298 | 0.6247 | 0.7201 | 5.8708
58 | 21.0013 | 1.9058 | 0.0154 | 0.0102 | 0.0009 | 1.1600 | 0.0620 | 0.0600 | 0.9868 | 1.0321 | 7.8912 | 64.5093 | 1.0858 | 0.4166 | 0.3386 | 0.3059 | 20.1937 | 3.7826 | 3.1473 | 0.6239 | 0.7191 | 5.8622
59 | 21.0024 | 1.9058 | 0.0154 | 0.0102 | 0.0009 | 1.1600 | 0.0619 | 0.0601 | 0.9868 | 1.0318 | 7.8910 | 64.6187 | 1.0871 | 0.4178 | 0.3412 | 0.3094 | 20.1217 | 3.7754 | 3.1411 | 0.6224 | 0.7151 | 5.8510
60 | 20.9970 | 1.9053 | 0.0154 | 0.0102 | 0.0009 | 1.1599 | 0.0620 | 0.0600 | 0.9868 | 1.0314 | 7.8909 | 64.5289 | 1.0857 | 0.4187 | 0.3409 | 0.3084 | 20.0370 | 3.7829 | 3.1522 | 0.6213 | 0.7162 | 5.8404
61 | 20.9936 | 1.9049 | 0.0154 | 0.0102 | 0.0009 | 1.1601 | 0.0618 | 0.0599 | 0.9869 | 1.0311 | 7.8909 | 64.6751 | 1.0852 | 0.4193 | 0.3426 | 0.3098 | 19.9965 | 3.8318 | 3.2016 | 0.6205 | 0.7144 | 5.8320
62 | 20.9903 | 1.9045 | 0.0154 | 0.0102 | 0.0010 | 1.1604 | 0.0618 | 0.0598 | 0.9868 | 1.0307 | 7.8905 | 64.6615 | 1.0828 | 0.4201 | 0.3437 | 0.3111 | 19.9600 | 3.8442 | 3.1590 | 0.6195 | 0.7131 | 5.8237
63 | 20.9867 | 1.9041 | 0.0154 | 0.0101 | 0.0010 | 1.1605 | 0.0617 | 0.0598 | 0.9868 | 1.0303 | 7.8900 | 64.7210 | 1.0820 | 0.4208 | 0.3446 | 0.3119 | 19.9166 | 3.8466 | 3.2050 | 0.6186 | 0.7118 | 5.8152
64 | 20.9844 | 1.9037 | 0.0154 | 0.0101 | 0.0010 | 1.1606 | 0.0617 | 0.0598 | 0.9868 | 1.0300 | 7.8898 | 64.7643 | 1.0810 | 0.4212 | 0.3455 | 0.3143 | 19.8812 | 3.8612 | 3.1859 | 0.6181 | 0.7096 | 5.8083
65 | 20.9788 | 1.9032 | 0.0154 | 0.0101 | 0.0011 | 1.1610 | 0.0617 | 0.0597 | 0.9868 | 1.0298 | 7.8897 | 64.7835 | 1.0805 | 0.4219 | 0.3463 | 0.3151 | 19.8181 | 3.8684 | 3.2100 | 0.6172 | 0.7084 | 5.8027
66 | 20.9813 | 1.9032 | 0.0155 | 0.0101 | 0.0011 | 1.1611 | 0.0616 | 0.0597 | 0.9867 | 1.0296 | 7.8887 | 64.8687 | 1.0817 | 0.4223 | 0.3481 | 0.3168 | 19.7821 | 3.8862 | 3.2041 | 0.6166 | 0.7067 | 5.7961
67 | 20.9790 | 1.9028 | 0.0155 | 0.0102 | 0.0011 | 1.1611 | 0.0615 | 0.0596 | 0.9867 | 1.0293 | 7.8887 | 64.8492 | 1.0799 | 0.4232 | 0.3484 | 0.3171 | 19.7255 | 3.8972 | 3.2108 | 0.6157 | 0.7061 | 5.7915
